Importe,card_type,country,card_operation_type,transaction_type,acquirer,state
65250,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
35000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
2000,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
34000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
36500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
6000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
89500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
89500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
70500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
38000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
85500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
53000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
107370,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
59294,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
25000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
79972,AMERICAN,PA,DEBIT,REFUND,COSMIC,CANCELLED
69500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
67533,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
56534,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
16910,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
8500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
114500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
33000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
65500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
24375,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
44723,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
100,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
41000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
3000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
5000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
6500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
2000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
37000,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
41000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
40000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
19500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
4000,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
30400,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
36800,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
56000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
34500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
68500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
50500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
38750,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
26000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
24500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
46000,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
59500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
7500,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
57500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
6500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
53875,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
4000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
51000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
36000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
8000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
48500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
1500,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
62500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
3500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
59750,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
33375,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
62250,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
260971,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
53050,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
94460,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
57634,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
40900,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
39796,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
62390,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
33534,AMERICAN,PA,CREDIT,PAY,COSMIC,CANCELLED
83000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
2000,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
39550,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
1500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
39200,MASTERCARD,SV,CREDIT,REFUND,COSMIC,CANCELLED
166790,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
129600,AMERICAN,AR,CREDIT,PAY,COSMIC,CANCELLED
8000,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
118000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
57350,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
113215,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
78350,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
48900,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
44900,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
37000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
49722,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
95850,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
17500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
87700,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
91500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
71828,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
73500,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
4500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
100,AMERICAN,AR,CREDIT,REFUND,COSMIC,CANCELLED
4500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
24000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
17000,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
107680,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
66100,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
35900,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
38845,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
36500,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
47200,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
39688,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
56905,MASTERCARD,PA,DEBIT,PAY,COSMIC,ACCEPTED
280075,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
25470,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
80500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
24790,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
30000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
38250,AMERICAN,PA,DEBIT,PAY,COSMIC,CANCELLED
58000,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
1473002,MASTERCARD,AR,DEBIT,PAY,COSMIC,ACCEPTED
150000,AMERICAN,SV,CREDIT,PAY,COSMIC,CANCELLED
4000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
34000,AMERICAN,AR,CREDIT,REFUND,COSMIC,CANCELLED
48000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
25250,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
103000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
7500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
3000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,VISA,SV,CREDIT,PAY,COSMIC,ACCEPTED
87750,MASTERCARD,PA,CREDIT,PAY,COSMIC,CANCELLED
30500,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
5000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
70500,AMERICAN,PA,DEBIT,PAY,COSMIC,CANCELLED
93500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
87000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
5000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
32250,MASTERCARD,PA,CREDIT,PAY,COSMIC,ACCEPTED
71500,AMERICAN,AR,CREDIT,REFUND,COSMIC,CANCELLED
31250,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
186829,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
82000,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
58500,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7500,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
2500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
21500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
46000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
301375,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
8000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
121433,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
71000,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
8000,AMERICAN,AR,CREDIT,PAY,COSMIC,CANCELLED
7500,MASTERCARD,SV,CREDIT,PAY,COSMIC,ACCEPTED
49100,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
4500,MASTERCARD,AR,CREDIT,PAY,COSMIC,ACCEPTED
7000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
7500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
62653,VISA,AR,CREDIT,PAY,COSMIC,ACCEPTED
61500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
3000,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
27976,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
1500,MASTERCARD,SV,DEBIT,PAY,COSMIC,ACCEPTED
66500,AMERICAN,PA,DEBIT,PAY,COSMIC,ACCEPTED
3500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
6500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
61500,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
14000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
3750,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
129616,AMERICAN,SV,CREDIT,PAY,COSMIC,ACCEPTED
27000,VISA,PA,CREDIT,PAY,COSMIC,ACCEPTED
26500,AMERICAN,AR,CREDIT,PAY,COSMIC,ACCEPTED
36000,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
4500,AMERICAN,PA,CREDIT,PAY,COSMIC,ACCEPTED
30500,AMERICAN,AR,DEBIT,PAY,COSMIC,ACCEPTED
277925,AMERICAN,SV,DEBIT,PAY,COSMIC,ACCEPTED
